replication,buffer,time_h,event_type,product,delta_m3,level_after_m3
0,log_yard,9.447290788717929,PUT,LOG,28.926894262871922,28.926894262871922
0,log_yard,9.447290788717929,GET,LOG,-28.926894262871922,0.0
0,stock_aserrado,10.879254575231847,PUT,P3,14.463447131435961,14.463447131435961
0,stock_aserrado,10.879254575231847,GET,P3,-14.463447131435961,0.0
0,log_yard,13.5008512247959,PUT,LOG,27.885015723095112,27.885015723095112
0,log_yard,13.795234657257334,PUT,LOG,25.433075828844675,53.31809155193979
0,log_yard,13.9908512247959,GET,LOG,-30.0,23.318091551939787
0,stock_aserrado,15.484781670592309,PUT,P2,15.0,15.0
0,log_yard,15.484781670592309,GET,LOG,-23.318091551939787,0.0
0,stock_aserrado,16.67559919696572,PUT,P2,11.659045775969894,26.659045775969894
0,stock_seco,17.088130648302652,PUT,P3,14.029543717492881,14.029543717492881
0,stock_seco,17.088130648302652,GET,P3,-14.029543717492881,0.0
0,log_yard,18.023054764772915,PUT,LOG,22.012355018116182,22.012355018116182
0,stock_drymill,18.051589602041865,PUT,P3,13.328066531618237,13.328066531618237
0,stock_drymill,18.051589602041865,GET,P3,-13.328066531618237,0.0
0,stock_aserrado,18.498130648302652,GET,P2,-26.659045775969894,0.0
0,log_yard,18.513054764772914,GET,LOG,-22.012355018116182,0.0
0,log_yard,18.730832605033754,PUT,LOG,31.213016849570554,31.213016849570554
0,stock_aserrado,19.626816326308273,PUT,P1,11.006177509058091,11.006177509058091
0,log_yard,19.626816326308273,GET,LOG,-30.0,1.213016849570554
0,stock_aserrado,19.626816326308273,GET,P1,-11.006177509058091,0.0
0,log_yard,20.067857093988,PUT,LOG,32.87624756007047,34.08926440964102
0,stock_aserrado,21.05841977559653,PUT,P1,15.0,15.0
0,stock_aserrado,21.05841977559653,GET,P1,-15.0,0.0
0,log_yard,21.54841977559653,GET,LOG,-30.0,4.089264409641018
0,log_yard,22.650677243150078,PUT,LOG,27.830423034676464,31.919687444317482
0,stock_aserrado,23.08205475994108,PUT,P3,15.0,15.0
0,stock_seco,30.490607501985423,PUT,P2,25.859274402690797,25.859274402690797
0,log_yard,31.49,GET,LOG,-30.0,1.919687444317482
0,stock_seco,31.59,GET,P2,-25.859274402690797,0.0
0,log_yard,31.88108395789235,PUT,LOG,31.155535522744927,33.07522296706241
0,stock_aserrado,31.900607501985423,GET,P3,-15.0,0.0
0,stock_aserrado,33.13334200899083,PUT,P1,15.0,15.0
0,stock_aserrado,33.13334200899083,GET,P1,-15.0,0.0
0,log_yard,33.62334200899083,GET,LOG,-30.0,3.075222967062409
0,stock_aserrado,35.12157344821179,PUT,P3,15.0,15.0
0,log_yard,35.21891712023711,PUT,LOG,38.04719193475913,41.122414901821536
0,log_yard,35.22300761698757,PUT,LOG,36.18648272744318,77.30889762926472
0,log_yard,35.61157344821179,GET,LOG,-30.0,47.30889762926472
0,log_yard,35.83773637968608,PUT,LOG,31.857674213031867,79.16657184229659
0,stock_aserrado,37.03418294754564,PUT,P2,15.0,30.0
0,log_yard,37.03418294754564,GET,LOG,-30.0,49.16657184229659
0,stock_seco,37.369847027332995,PUT,P3,14.549999999999999,14.549999999999999
0,stock_aserrado,37.369847027332995,GET,P3,-15.0,15.0
0,stock_seco,37.959847027333,GET,P3,-14.549999999999999,0.0
0,stock_aserrado,38.59504448130513,PUT,P2,15.0,30.0
0,log_yard,38.59504448130513,GET,LOG,-30.0,19.16657184229659
0,stock_drymill,39.10464890703563,PUT,P3,13.822499999999998,13.822499999999998
0,stock_drymill,39.10464890703563,GET,P3,-13.822499999999998,0.0
0,stock_aserrado,40.16480682473601,PUT,P2,15.0,45.0
0,log_yard,40.16480682473601,GET,LOG,-19.166571842296584,7.105427357601002e-15
0,stock_aserrado,41.13408072449002,PUT,P2,9.583285921148292,54.58328592114829
0,log_yard,42.8578569412239,PUT,LOG,26.355659863472557,26.355659863472564
0,log_yard,42.8578569412239,GET,LOG,-26.355659863472557,7.105427357601002e-15
0,stock_seco,42.976024867744606,PUT,P3,14.549999999999999,14.549999999999999
0,stock_seco,42.976024867744606,GET,P3,-14.549999999999999,0.0
0,log_yard,43.24857586178421,PUT,LOG,21.72244429052895,21.72244429052896
0,log_yard,43.51424013880979,PUT,LOG,21.661715296981733,43.384159587510695
0,stock_drymill,44.16566075278062,PUT,P3,13.822499999999998,13.822499999999998
0,stock_drymill,44.16566075278062,GET,P3,-13.822499999999998,0.0
0,stock_aserrado,44.3860248677446,GET,P2,-54.58328592114829,0.0
0,log_yard,45.092807669244046,PUT,LOG,26.283851284778052,69.66801087228875
0,stock_aserrado,47.051419830308326,PUT,P2,13.177829931736278,13.177829931736278
0,log_yard,55.0,GET,LOG,-30.0,39.66801087228875
0,log_yard,55.70288612020709,PUT,LOG,32.94326056408896,72.6112714363777
0,log_yard,56.19891659951479,PUT,LOG,31.85277902237921,104.46405045875692
0,stock_aserrado,56.6156595273065,PUT,P2,15.0,28.177829931736277
0,log_yard,56.6156595273065,GET,LOG,-30.0,74.46405045875692
0,stock_aserrado,58.33012682049381,PUT,P2,15.0,43.17782993173628
0,log_yard,58.33012682049381,GET,LOG,-30.0,44.464050458756915
0,log_yard,59.21527312739893,PUT,LOG,35.39766796950662,79.86171842826354
0,stock_aserrado,59.89696682322955,PUT,P2,15.0,58.17782993173628
0,log_yard,59.89696682322955,GET,LOG,-30.0,49.86171842826354
0,log_yard,60.31237871816575,PUT,LOG,23.0758390236992,72.93755745196275
0,log_yard,60.46990039696141,PUT,LOG,27.898829780343533,100.83638723230628
0,stock_aserrado,61.55767246604628,PUT,P2,15.0,73.17782993173628
0,log_yard,61.55767246604628,GET,LOG,-30.0,70.83638723230628
0,stock_aserrado,63.10851809585826,PUT,P2,15.0,88.17782993173628
0,log_yard,63.10851809585826,GET,LOG,-30.0,40.83638723230628
0,stock_aserrado,64.52072480593861,PUT,P2,15.0,103.17782993173628
0,log_yard,64.52072480593861,GET,LOG,-30.0,10.83638723230628
0,log_yard,66.03305121220028,PUT,LOG,36.32602714120773,47.16241437351401
0,stock_aserrado,66.09810665891419,PUT,P2,15.0,118.17782993173628
0,log_yard,66.58810665891419,GET,LOG,-30.0,17.16241437351401
0,log_yard,67.96097187062318,PUT,LOG,27.787722195643344,44.95013656915735
0,stock_aserrado,68.08378072395472,PUT,P3,15.0,133.17782993173628
0,log_yard,68.57378072395471,GET,LOG,-30.0,14.950136569157351
0,stock_aserrado,70.05696952703275,PUT,P2,15.0,148.17782993173628
0,stock_seco,70.15612854048375,PUT,P2,52.945787343513835,52.945787343513835
0,stock_aserrado,70.15612854048375,GET,P2,-80.0,68.17782993173628
0,log_yard,70.54696952703274,GET,LOG,-14.950136569157333,1.7763568394002505e-14
0,log_yard,70.62093938484611,PUT,LOG,28.46716172758172,28.467161727581736
0,stock_seco,70.74612854048375,GET,P2,-40.0,12.945787343513835
0,stock_aserrado,71.40512341924293,PUT,P1,7.475068284578667,75.65289821631495
0,stock_aserrado,79.0,GET,P1,-7.475068284578667,68.17782993173628
0,log_yard,79.0,GET,LOG,-28.46716172758172,1.7763568394002505e-14
0,stock_seco,79.0,GET,P2,-12.945787343513835,0.0
0,stock_aserrado,80.40585793934247,PUT,P1,14.23358086379086,82.41141079552715
0,stock_aserrado,80.40585793934247,GET,P1,-14.23358086379086,68.17782993173628
0,log_yard,81.54795674884791,PUT,LOG,33.37753410117208,33.3775341011721
0,log_yard,82.0379567488479,GET,LOG,-30.0,3.3775341011721025
0,log_yard,82.33495125156445,PUT,LOG,23.720226167235978,27.09776026840808
0,log_yard,82.83901936197026,PUT,LOG,32.80515362824716,59.90291389665524
0,stock_aserrado,83.79425144135617,PUT,P2,15.0,83.17782993173628
0,log_yard,83.79425144135617,GET,LOG,-30.0,29.902913896655242
0,log_yard,83.84452231790276,PUT,LOG,31.25747012449686,61.1603840211521
0,stock_aserrado,85.27314091238489,PUT,P2,15.0,98.17782993173628
0,log_yard,85.76314091238488,GET,LOG,-30.0,31.160384021152097
0,log_yard,86.81016795834906,PUT,LOG,37.39730165437265,68.55768567552474
0,stock_aserrado,87.25309294483723,PUT,P3,15.0,113.17782993173628
0,log_yard,87.74309294483723,GET,LOG,-30.0,38.55768567552474
0,stock_aserrado,89.18439517915893,PUT,P1,15.0,128.17782993173628
0,stock_aserrado,89.18439517915893,GET,P1,-15.0,113.17782993173628
0,log_yard,89.67439517915892,GET,LOG,-30.0,8.557685675524738
0,stock_aserrado,91.1043804639907,PUT,P3,15.0,128.17782993173628
0,log_yard,91.1043804639907,GET,LOG,-8.557685675524727,1.0658141036401503e-14
0,stock_aserrado,91.51370178982967,PUT,P3,4.2788428377623635,132.45667276949865
0,log_yard,92.55852333272615,PUT,LOG,30.011915406420812,30.011915406420822
0,log_yard,93.04852333272615,GET,LOG,-30.0,0.01191540642082245
0,stock_aserrado,94.53956586324905,PUT,P2,15.0,147.45667276949865
0,log_yard,94.53956586324905,GET,LOG,-0.011915406420811792,1.0658141036401503e-14
0,stock_aserrado,94.54019295972114,PUT,P2,0.005957703210405896,147.46263047270907
0,log_yard,103.86217385818865,PUT,LOG,23.785304694359358,23.78530469435937
