replication,day,station,m3_in,m3_out,batches_processed
0,0,aserradero,162.19,80.196,6
0,0,bano,24.919,24.625,2
0,0,drymill,13.99,13.357,1
0,0,impregnado,12.692,12.692,1
0,0,secado,14.506,13.79,1
0,1,aserradero,195.886,96.98,7
0,1,bano,14.638,14.289,1
0,1,drymill,55.446,52.688,3
0,1,impregnado,27.127,26.905,2
0,1,secado,55.791,53.870000000000005,3
0,2,aserradero,290.25,144.935,10
0,2,secado,53.113,52.684,1
0,3,aserradero,213.975,106.922,9
0,3,bano,35.444,35.022,3
0,3,drymill,52.878,50.43,2
0,4,aserradero,207.662,103.906,8
0,4,bano,14.215,14.215,1
0,4,drymill,76.50399999999999,73.042,2
0,4,secado,75.212,72.25,1
0,5,aserradero,100.557,50.411,4
0,5,bano,31.094,30.587,2
0,5,drymill,82.189,77.973,2
0,5,secado,85.763,82.049,1
0,6,aserradero,30.508,15.231,1
0,6,secado,78.063,77.605,1
0,7,aserradero,278.6,138.099,9
0,7,bano,60.425,59.688,4
0,7,drymill,126.98200000000001,122.009,4
0,7,secado,44.389,42.678,1
0,8,aserradero,322.612,160.92,11
0,8,bano,90.67,89.892,6
0,8,drymill,44.385999999999996,42.624,2
0,8,secado,76.569,76.113,2
0,9,aserradero,253.46,125.119,9
0,9,bano,43.813,42.667,3
0,9,drymill,42.761,40.7,2
0,9,secado,15.865,15.348,1
0,10,aserradero,166.351,83.216,9
0,10,bano,29.964,29.926000000000002,2
0,10,drymill,74.38499999999999,70.481,2
0,10,impregnado,74.51599999999999,73.03399999999999,2
0,10,secado,75.054,73.862,1
0,11,aserradero,232.437,115.48700000000001,9
0,11,bano,44.175,43.211,4
0,11,drymill,55.987,52.958,2
0,11,impregnado,53.67,52.135,2
0,11,secado,60.287000000000006,58.075,2
0,12,aserradero,122.172,60.276,6
0,12,drymill,77.031,73.814,2
0,12,secado,82.628,79.203,1
0,13,aserradero,31.68,16.019,1
0,14,aserradero,152.882,76.842,7
0,14,bano,33.736000000000004,33.468,3
0,14,drymill,38.903,36.282,1
0,14,secado,84.657,82.066,1
0,15,aserradero,175.64600000000002,87.816,7
0,15,bano,25.628,25.503,2
0,15,drymill,35.483,33.987,1
0,16,aserradero,250.371,126.97,9
0,16,bano,29.058,28.598,2
0,16,drymill,78.578,74.17500000000001,2
0,16,secado,82.422,80.924,1
0,17,aserradero,203.077,102.306,8
0,17,bano,45.941,45.55,3
0,17,drymill,72.451,67.576,2
0,17,secado,85.794,83.192,1
0,18,aserradero,157.114,78.816,6
